nl_query,sql_query
Show logs where log level is 'ERROR',SELECT * FROM logs WHERE log_level = 'ERROR'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Retrieve logs with status code 200,SELECT * FROM logs WHERE status_code = 200
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where user id is '4',SELECT * FROM logs WHERE user_id = '4'
Show logs where event id is '1061',SELECT * FROM logs WHERE event_id = '1061'
List all logs where action performed is LOGIN,SELECT * FROM logs WHERE action_performed = 'LOGIN'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Get logs from 2023-02-01,SELECT * FROM logs WHERE timestamp = '2023-02-01'
Show logs where session id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE session_id = 'VALUE_PLACEHOLDER'
Show logs where user id is '19',SELECT * FROM logs WHERE user_id = '19'
Show logs where bytes received is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_received = 'VALUE_PLACEHOLDER'
Show logs where thread id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE thread_id = 'VALUE_PLACEHOLDER'
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where bytes received is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_received = 'VALUE_PLACEHOLDER'
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
Show logs where session id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE session_id = 'VALUE_PLACEHOLDER'
Show logs where event id is '1007',SELECT * FROM logs WHERE event_id = '1007'
Show logs where exception stacktrace is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE exception_stacktrace = 'VALUE_PLACEHOLDER'
Show logs where file name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE file_name = 'VALUE_PLACEHOLDER'
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where application name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE application_name = 'VALUE_PLACEHOLDER'
Show logs where bytes sent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_sent = 'VALUE_PLACEHOLDER'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Show logs where exception stacktrace is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE exception_stacktrace = 'VALUE_PLACEHOLDER'
Retrieve logs with status code 400,SELECT * FROM logs WHERE status_code = 400
Show logs where exception stacktrace is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE exception_stacktrace = 'VALUE_PLACEHOLDER'
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where file name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE file_name = 'VALUE_PLACEHOLDER'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
List all logs where action performed is LOGOUT,SELECT * FROM logs WHERE action_performed = 'LOGOUT'
Show logs where destination ip address is '10.0.0.30',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.30'
Find logs where response time is >= 841ms,SELECT * FROM logs WHERE response time >= 841
Find logs where response time is <= 897ms,SELECT * FROM logs WHERE response time <= 897
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
Show logs where error message is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE error_message = 'VALUE_PLACEHOLDER'
Show logs where source ip address is '192.168.0.15',SELECT * FROM logs WHERE source_ip_address = '192.168.0.15'
Show logs where destination ip address is '10.0.0.50',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.50'
Show logs where log level is 'WARN',SELECT * FROM logs WHERE log_level = 'WARN'
Show logs where thread id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE thread_id = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where bytes sent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_sent = 'VALUE_PLACEHOLDER'
Retrieve logs with status code 500,SELECT * FROM logs WHERE status_code = 500
Find logs where response time is >= 610ms,SELECT * FROM logs WHERE response time >= 610
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where log level is 'WARN',SELECT * FROM logs WHERE log_level = 'WARN'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.3',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.3'
Show logs where destination ip address is '10.0.0.23',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.23'
Get logs from 2023-01-02,SELECT * FROM logs WHERE timestamp = '2023-01-02'
Show logs where exception stacktrace is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE exception_stacktrace = 'VALUE_PLACEHOLDER'
Show logs where bytes sent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_sent = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.42',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.42'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.37',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.37'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where event id is '1082',SELECT * FROM logs WHERE event_id = '1082'
Find logs where response time is <= 287ms,SELECT * FROM logs WHERE response time <= 287
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Retrieve logs with status code 404,SELECT * FROM logs WHERE status_code = 404
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Find logs where response time is <= 252ms,SELECT * FROM logs WHERE response time <= 252
List all logs where action performed is LOGIN,SELECT * FROM logs WHERE action_performed = 'LOGIN'
List all logs where action performed is LOGOUT,SELECT * FROM logs WHERE action_performed = 'LOGOUT'
Show logs where destination ip address is '10.0.0.32',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.32'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where error message is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE error_message = 'VALUE_PLACEHOLDER'
Show logs where application name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE application_name = 'VALUE_PLACEHOLDER'
Retrieve logs with status code 404,SELECT * FROM logs WHERE status_code = 404
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
List all logs where action performed is DOWNLOAD,SELECT * FROM logs WHERE action_performed = 'DOWNLOAD'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where bytes sent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_sent = 'VALUE_PLACEHOLDER'
Show logs where log level is 'INFO',SELECT * FROM logs WHERE log_level = 'INFO'
Show logs where thread id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE thread_id = 'VALUE_PLACEHOLDER'
Retrieve logs with status code 400,SELECT * FROM logs WHERE status_code = 400
List all logs where action performed is DOWNLOAD,SELECT * FROM logs WHERE action_performed = 'DOWNLOAD'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where application name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE application_name = 'VALUE_PLACEHOLDER'
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
List all logs where action performed is LOGIN,SELECT * FROM logs WHERE action_performed = 'LOGIN'
Show logs where thread id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE thread_id = 'VALUE_PLACEHOLDER'
Show logs where file name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE file_name = 'VALUE_PLACEHOLDER'
Show logs where source ip address is '192.168.0.36',SELECT * FROM logs WHERE source_ip_address = '192.168.0.36'
Show logs where destination ip address is '10.0.0.26',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.26'
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where user agent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE user_agent = 'VALUE_PLACEHOLDER'
Show logs where event id is '1021',SELECT * FROM logs WHERE event_id = '1021'
Get logs from 2023-01-02,SELECT * FROM logs WHERE timestamp = '2023-01-02'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Show logs where log level is 'DEBUG',SELECT * FROM logs WHERE log_level = 'DEBUG'
Show logs where user id is '19',SELECT * FROM logs WHERE user_id = '19'
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where bytes received is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_received = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.38',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.38'
Show logs where destination ip address is '10.0.0.3',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.3'
Find logs where response time is <= 769ms,SELECT * FROM logs WHERE response time <= 769
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where application name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE application_name = 'VALUE_PLACEHOLDER'
Show logs where session id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE session_id = 'VALUE_PLACEHOLDER'
Show logs where source ip address is '192.168.0.34',SELECT * FROM logs WHERE source_ip_address = '192.168.0.34'
Show logs where user agent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE user_agent = 'VALUE_PLACEHOLDER'
Show logs where log level is 'INFO',SELECT * FROM logs WHERE log_level = 'INFO'
Show logs where session id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE session_id = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
List all logs where action performed is DOWNLOAD,SELECT * FROM logs WHERE action_performed = 'DOWNLOAD'
Find logs where response time is > 810ms,SELECT * FROM logs WHERE response time > 810
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
Show logs where exception stacktrace is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE exception_stacktrace = 'VALUE_PLACEHOLDER'
Get logs from 2023-03-01,SELECT * FROM logs WHERE timestamp = '2023-03-01'
Show logs where application name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE application_name = 'VALUE_PLACEHOLDER'
Show logs where source ip address is '192.168.0.5',SELECT * FROM logs WHERE source_ip_address = '192.168.0.5'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where error message is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE error_message = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.14',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.14'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.27',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.27'
Find logs where response time is < 325ms,SELECT * FROM logs WHERE response time < 325
Show logs where session id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE session_id = 'VALUE_PLACEHOLDER'
Show logs where user id is '13',SELECT * FROM logs WHERE user_id = '13'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where log level is 'ERROR',SELECT * FROM logs WHERE log_level = 'ERROR'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where line number is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE line_number = 'VALUE_PLACEHOLDER'
Show logs where bytes sent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_sent = 'VALUE_PLACEHOLDER'
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where host name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE host_name = 'VALUE_PLACEHOLDER'
Show logs where file name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE file_name = 'VALUE_PLACEHOLDER'
Show logs where user id is '4',SELECT * FROM logs WHERE user_id = '4'
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where log level is 'DEBUG',SELECT * FROM logs WHERE log_level = 'DEBUG'
Show logs where user agent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE user_agent = 'VALUE_PLACEHOLDER'
Show logs where file name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE file_name = 'VALUE_PLACEHOLDER'
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where bytes sent is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_sent = 'VALUE_PLACEHOLDER'
Show logs where bytes received is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE bytes_received = 'VALUE_PLACEHOLDER'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
Show logs where method name is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE method_name = 'VALUE_PLACEHOLDER'
List all logs where action performed is DOWNLOAD,SELECT * FROM logs WHERE action_performed = 'DOWNLOAD'
Show logs where source ip address is '192.168.0.41',SELECT * FROM logs WHERE source_ip_address = '192.168.0.41'
Show logs where resource accessed is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE resource_accessed = 'VALUE_PLACEHOLDER'
Show logs where operating system is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE operating_system = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.24',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.24'
Show logs where event type is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE event_type = 'VALUE_PLACEHOLDER'
Show logs where destination ip address is '10.0.0.32',SELECT * FROM logs WHERE destination_ip_address = '10.0.0.32'
Show logs where error message is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE error_message = 'VALUE_PLACEHOLDER'
Show logs where process id is 'VALUE_PLACEHOLDER',SELECT * FROM logs WHERE process_id = 'VALUE_PLACEHOLDER'
